Time (sec),RPM,Air Temp (C),Coolant Temp (C),TPS (%),MAP (kPa),Battery Volt (V),Fuel Open Time (ms),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),Ignition Angle (DBTDC),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,OIL PRES,OIL TEMP (C),Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,System Temperature (C),Measured Lambda #1,
10.050,5093,39.0,58.0,20.1,94.73,13.30,4.85,108.6,100.0,110.0,23.3,0,0,0,0,0,0,0,0,77.08,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.100,5167,39.0,58.0,20.7,94.46,13.30,4.92,108.5,100.0,110.0,23.5,0,0,0,0,0,0,0,0,80.14,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.150,5214,39.0,58.0,21.9,94.73,13.30,4.93,108.5,100.0,110.0,23.7,0,0,0,0,0,0,0,0,80.36,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.200,5172,39.0,58.0,22.5,95.63,13.30,4.96,108.4,100.0,110.0,23.5,0,0,0,0,0,0,0,0,78.57,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.250,5310,39.0,58.0,23.9,95.63,13.30,5.01,108.4,100.0,110.0,24.0,0,0,0,0,0,0,0,0,80.84,47.0,1,0,1,0,0,0,0,0,0,0,30,0.68,
10.300,5297,39.0,58.0,24.7,96.25,13.30,4.98,108.3,100.0,110.0,24.0,0,0,0,0,0,0,0,0,81.30,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.350,5647,39.0,58.0,30.2,96.53,13.30,5.17,108.3,100.0,110.0,24.8,0,0,0,0,0,0,0,0,85.34,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.400,5552,39.0,58.0,32.4,97.77,13.30,5.16,108.2,100.0,110.0,24.7,0,0,0,0,0,0,0,0,81.95,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.450,5305,39.0,58.0,32.6,98.73,13.30,5.06,108.2,100.0,110.0,24.0,0,0,0,0,0,0,0,0,79.72,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.500,5459,39.0,58.0,33.0,98.59,13.30,5.10,108.1,100.0,110.0,24.5,0,0,0,0,0,0,0,0,80.34,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.550,5766,39.0,58.0,35.6,97.35,13.30,5.30,108.1,100.0,110.0,25.2,0,0,0,0,0,0,0,0,84.82,47.0,1,0,1,0,0,0,0,0,0,0,30,0.68,
10.601,5643,39.0,58.0,35.8,98.80,13.30,5.22,108.0,100.0,110.0,24.9,0,0,0,0,0,0,0,0,84.62,47.0,1,0,1,0,0,0,0,0,0,0,30,0.68,
10.650,5494,39.0,58.0,35.8,98.59,13.30,5.12,107.9,100.0,110.0,24.6,0,0,0,0,0,0,0,0,81.93,47.0,1,0,1,0,0,0,0,0,0,0,30,0.71,
10.700,5860,39.0,58.0,36.2,97.63,13.30,5.34,107.9,100.0,110.0,25.4,0,0,0,0,0,0,0,0,85.86,47.0,1,0,1,0,0,0,0,0,0,0,30,0.70,
10.750,5763,39.0,58.0,38.4,98.73,13.30,5.28,107.8,100.0,110.0,25.2,0,0,0,0,0,0,0,0,86.04,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
10.801,5694,39.0,58.0,37.5,98.66,13.30,5.23,107.8,100.0,110.0,25.0,0,0,0,0,0,0,0,0,83.48,47.0,1,0,1,0,0,0,0,0,0,0,30,0.71,
10.850,6037,39.0,58.0,35.9,97.97,13.30,5.41,107.7,100.0,110.0,25.9,0,0,0,0,0,0,0,0,86.04,47.0,1,0,1,0,0,0,0,0,0,0,29,0.71,
10.901,6164,39.0,58.0,39.8,98.25,13.30,5.49,107.7,100.0,110.0,26.4,0,0,0,0,0,0,0,0,86.16,47.0,1,0,1,0,0,0,0,0,0,0,30,0.72,
10.951,5879,39.0,58.0,39.8,98.59,13.30,5.34,107.6,100.0,110.0,25.5,0,0,0,0,0,0,0,0,85.89,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
11.001,6095,39.0,58.0,39.8,98.66,13.30,5.45,107.6,100.0,110.0,26.2,0,0,0,0,0,0,0,0,87.01,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
11.050,6193,39.0,58.0,39.6,98.59,13.30,5.50,107.5,100.0,110.0,26.5,0,0,0,0,0,0,0,0,88.10,47.0,1,0,1,0,0,0,0,0,0,0,30,0.75,
11.100,6548,39.0,58.0,39.2,97.49,13.30,5.63,107.5,100.0,110.0,27.5,0,0,0,0,0,0,0,0,90.54,47.0,1,0,1,0,0,0,0,0,0,0,30,0.74,
11.150,6210,39.0,58.0,29.8,97.42,13.30,5.48,107.4,100.0,110.0,26.6,0,0,0,0,0,0,0,0,89.00,47.0,1,0,1,0,0,0,0,0,0,0,30,0.74,
11.200,6166,39.0,58.0,19.0,90.60,13.30,5.34,107.3,100.0,110.0,26.1,0,0,0,0,0,0,0,0,87.83,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
11.250,6343,39.0,58.0,19.6,87.43,13.30,5.27,107.3,100.0,110.0,26.6,0,0,0,0,0,0,0,0,90.89,47.0,1,0,1,0,0,0,0,0,0,0,30,0.77,
11.300,6404,39.0,58.0,20.8,87.43,13.30,5.28,107.2,100.0,110.0,26.8,0,0,0,0,0,0,0,0,87.73,47.0,1,0,1,0,0,0,0,0,0,0,30,0.72,
11.350,6417,39.0,58.0,20.8,87.43,13.30,5.27,107.2,100.0,110.0,26.8,0,0,0,0,0,0,0,0,89.05,47.0,1,0,1,0,0,0,0,0,0,0,30,0.72,
11.400,6502,38.0,58.0,18.8,86.67,13.30,5.14,107.1,100.0,110.0,27.1,0,0,0,0,0,0,0,0,90.30,47.0,1,0,1,0,0,0,0,0,0,0,30,0.69,
11.450,6213,38.0,58.0,12.0,81.70,13.30,4.30,107.1,100.0,110.0,26.1,0,0,0,0,0,0,0,0,88.80,47.0,1,0,1,0,0,0,0,0,0,0,30,0.70,
11.500,6283,38.0,58.0,11.9,76.95,13.40,4.04,107.0,100.0,110.0,26.3,0,0,0,0,0,0,0,0,89.27,47.0,1,0,1,0,0,0,0,0,0,0,30,0.70,
11.550,6201,38.0,58.0,0.8,70.46,13.40,3.89,107.0,100.0,110.0,25.8,0,0,0,0,0,0,0,0,88.75,47.0,1,0,1,0,0,0,0,0,0,0,30,0.72,
11.600,5821,38.0,58.0,0.2,60.19,13.40,3.71,106.9,100.0,110.0,25.0,0,0,0,0,0,0,0,0,85.62,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
11.650,6009,38.0,58.0,0.2,54.95,13.40,3.43,106.9,100.0,110.0,25.0,0,0,0,0,0,0,0,0,87.85,47.0,1,0,1,0,0,0,0,0,0,0,30,0.73,
11.701,6311,38.0,58.0,0.2,49.44,13.40,3.46,106.8,100.0,110.0,25.9,0,0,0,0,0,0,0,0,89.62,47.0,1,0,1,0,0,0,0,0,0,0,30,0.88,
11.750,6028,38.0,58.0,0.2,46.61,13.40,3.27,106.7,100.0,110.0,24.9,0,0,0,0,0,0,0,0,87.28,47.0,1,0,1,0,0,0,0,0,0,0,30,0.88,
11.800,6025,38.0,58.0,0.2,45.57,13.40,3.23,106.7,100.0,110.0,24.9,0,0,0,0,0,0,0,0,88.05,47.0,1,0,1,0,0,0,0,0,0,0,30,1.07,
11.850,6008,38.0,58.0,0.2,44.40,13.40,3.18,106.6,100.0,110.0,24.8,0,0,0,0,0,0,0,0,87.76,47.0,1,0,1,0,0,0,0,0,0,0,30,1.05,
11.900,5773,38.0,58.0,0.2,44.26,13.40,3.01,106.6,100.0,110.0,22.6,0,0,0,0,0,0,0,0,85.06,47.0,1,0,1,0,0,0,0,0,0,0,30,1.04,
11.950,5766,38.0,58.0,0.2,44.40,13.40,3.02,106.5,100.0,110.0,22.5,0,0,0,0,0,0,0,0,86.73,47.0,1,0,1,0,0,0,0,0,0,0,30,0.99,
12.000,5731,38.0,58.0,0.2,44.82,13.50,0.00,106.5,100.0,110.0,21.8,0,0,0,1,0,0,0,0,84.42,47.0,1,0,1,0,0,0,0,0,0,0,30,0.99,
12.050,5676,38.0,58.0,0.2,45.16,13.50,2.97,106.4,100.0,110.0,20.8,0,0,0,0,0,0,0,0,85.46,47.0,1,0,1,0,0,0,0,0,0,0,30,0.95,
12.100,5533,38.0,58.0,0.2,45.78,13.40,2.90,106.4,100.0,110.0,18.2,0,0,0,0,0,0,0,0,83.65,47.0,1,0,1,0,0,0,0,0,0,0,30,0.93,
12.150,5413,38.0,58.0,0.2,47.92,13.40,2.87,106.3,100.0,110.0,16.1,0,0,0,0,0,0,0,0,81.88,47.0,1,0,1,0,0,0,0,0,0,0,30,0.93,
12.200,5321,38.0,58.0,0.2,49.37,13.40,2.83,106.3,100.0,110.0,14.7,0,0,0,0,0,0,0,0,80.14,47.0,1,0,1,0,0,0,0,0,0,0,30,0.96,
12.250,5252,38.0,58.0,0.2,50.81,13.40,2.76,106.2,100.0,110.0,13.7,0,0,0,0,0,0,0,0,80.27,47.0,1,0,1,0,0,0,0,0,0,0,30,0.96,
12.300,5155,38.0,58.0,0.2,51.78,13.40,2.67,106.1,100.0,110.0,12.3,0,0,0,0,0,0,0,0,80.63,47.0,1,0,1,0,0,0,0,0,0,0,30,1.01,
12.351,5065,38.0,58.0,0.3,53.50,13.40,2.62,106.1,100.0,110.0,12.0,0,0,0,0,0,0,0,0,77.48,47.0,1,0,1,0,0,0,0,0,0,0,30,1.00,
12.400,4900,38.0,58.0,0.2,54.88,13.40,2.58,106.0,100.0,110.0,12.3,0,0,0,0,0,0,0,0,76.53,47.0,1,0,1,0,0,0,0,0,0,0,30,1.00,
12.450,4855,38.0,58.0,0.2,56.47,13.40,2.76,106.0,100.0,110.0,14.3,0,0,0,0,0,0,0,0,76.38,47.0,1,0,1,0,0,0,0,0,0,0,30,1.01,
12.500,4688,38.0,58.0,0.2,57.98,13.40,2.87,105.9,100.0,110.0,14.5,0,0,0,0,0,0,0,0,73.64,47.0,1,0,1,0,0,0,0,0,0,0,30,1.03,
12.551,4534,38.0,58.0,0.2,59.09,13.40,2.97,105.9,100.0,110.0,14.8,0,0,0,0,0,0,0,0,68.49,47.0,1,0,1,0,0,0,0,0,0,0,30,1.07,
12.600,4509,38.0,58.0,0.3,59.50,13.40,3.01,105.8,100.0,110.0,15.2,0,0,0,0,0,0,0,0,69.31,47.0,1,0,1,0,0,0,0,0,0,0,30,1.12,
12.650,4242,38.0,58.0,0.4,59.78,13.40,2.89,105.8,100.0,110.0,15.4,0,0,0,0,0,0,0,0,63.56,47.0,1,0,1,0,0,0,0,0,0,0,30,1.12,
12.700,4247,38.0,58.0,0.5,60.26,13.50,2.96,105.7,100.0,110.0,16.7,0,0,0,0,0,0,0,0,62.59,47.0,1,0,1,0,0,0,0,0,0,0,30,1.14,
12.750,4065,38.0,58.0,0.8,60.88,13.50,2.90,105.6,100.0,110.0,16.8,0,0,0,0,0,0,0,0,60.27,47.0,1,0,1,0,0,0,0,0,0,0,30,1.15,
12.800,3883,38.0,58.0,0.8,62.05,13.50,3.09,105.6,100.0,110.0,19.1,0,0,0,0,0,0,0,0,57.64,47.0,1,0,1,0,0,0,0,0,0,0,30,1.15,
12.850,3915,38.0,58.0,0.8,62.88,13.50,3.15,105.5,100.0,110.0,20.1,0,0,0,0,0,0,0,0,56.79,47.0,1,0,1,0,0,0,0,0,0,0,30,1.06,
12.900,3684,38.0,58.0,0.8,63.36,13.50,3.22,105.5,100.0,110.0,20.7,0,0,0,0,0,0,0,0,54.03,47.0,1,0,1,0,0,0,0,0,0,0,30,1.06,
12.950,3489,38.0,58.0,0.8,65.50,13.50,3.40,105.4,100.0,110.0,20.3,0,0,0,0,0,0,0,0,50.87,47.0,1,0,1,0,0,0,0,0,0,0,30,0.91,
13.000,3440,38.0,58.0,0.8,68.40,13.50,3.69,105.4,100.0,110.0,20.2,0,0,0,0,0,0,0,0,48.30,47.0,1,0,1,0,0,0,0,0,0,0,30,0.84,
13.050,3249,38.0,58.0,1.6,72.12,13.50,3.98,105.3,100.0,110.0,19.9,0,0,0,0,0,0,0,0,46.41,47.0,1,0,1,0,0,0,0,0,0,0,30,0.84,
13.100,3363,38.0,58.0,1.7,74.33,13.50,4.11,105.3,100.0,110.0,20.1,0,0,0,0,0,0,0,0,46.94,47.0,1,0,1,0,0,0,0,0,0,0,30,0.80,
13.150,3354,38.0,58.0,1.7,76.39,13.50,4.17,105.2,100.0,110.0,20.1,0,0,0,0,0,0,0,0,47.53,47.0,1,0,1,0,0,0,0,0,0,0,30,0.80,
13.200,3162,38.0,58.0,1.7,78.39,13.50,4.20,105.2,100.0,110.0,19.7,0,0,0,0,0,0,0,0,44.57,47.0,1,0,1,0,0,0,0,0,0,0,30,0.85,
13.250,3004,38.0,58.0,1.8,79.98,13.50,4.28,105.1,100.0,110.0,19.4,0,0,0,0,0,0,0,0,42.18,47.0,1,0,1,0,0,0,0,0,0,0,30,0.83,
